case_id,section,surface,role,environment,phase,release_ref,priority,gate,coverage_mode,scenario,preconditions_or_test_data,expected_result,definition_ref,evidence_ref,workflow_state,result,verified_at,executor,approver,notes_or_risk
REC-001,Release / Environment / Recovery,운영/연계 > 복구/운영,관리자,qa,Pre-release,main@5409b8c,P0,Release,Manual-only,재부팅 후 자동 복구,launchd 등록 완료 / steps=1) 맥미니 재부팅 2) 외부 로그인 접속,서비스가 자동 기동되고 로그인 화면이 열린다,runbook:docs/macos_qa_prod_runbook.md | checklist:docs/go_live_checklist.md,script:scripts/run_smoke_qa.py 2026-04-18 / qa smoke pass,Verified,Pass,2026-04-18T13:16:47+09:00,Codex,,자동 복구 상태 정상 | launchd running | local health ok | 2026-03-13 실재부팅 검증 이력 포함
REC-002,Release / Environment / Recovery,운영/연계 > 복구/운영,관리자,qa,Pre-release,main@5409b8c,P1,Release,Manual-only,AFP 지연 시 로그 확인,AFP 마운트 지연 상황 재현 / steps=1) check_library_status.sh 실행 2) launchd 에러 로그 확인,한글 안내 로그로 원인 파악이 가능하다,runbook:docs/macos_qa_prod_runbook.md | checklist:docs/go_live_checklist.md,shell:/Users/__DEV_USER__/apps/hahahoho-qa/scripts/check_library_status.sh --short /Users/__DEV_USER__/apps/hahahoho-qa,Verified,Pass,2026-04-18T15:22:48+09:00,Codex,,backup state missing 경로에서 한글 AFP/launchd 안내 출력 확인
REC-003,Release / Environment / Recovery,운영/연계 > 복구/운영,관리자,qa,Pre-release,main@5409b8c,P1,Release,Manual-only,시스템 상태 패널 로그 확인,문제 상황 발생 / steps=1) 운영/연계 진입,최근 launchd 로그와 health 상태를 한 화면에서 확인할 수 있다,runbook:docs/macos_qa_prod_runbook.md | checklist:docs/go_live_checklist.md,live:/system/status 2026-04-18 / health ok / recent launchd lines,Verified,Pass,2026-04-18T14:12:07+09:00,Codex,,health=ok | log_lines=2
REL-001,Release / Environment / Recovery,QA > 자동 검증,공통,local,Pre-release,main@5409b8c,P0,Blocker,Auto,핵심 backend/route 회귀 테스트 묶음 실행,작업 트리 최신 상태 / Python 환경 준비,핵심 route/service 테스트가 모두 통과한다,pytest:tests/test_ops_route_access.py | pytest:tests/test_artist_context_service.py,pytest -q tests/test_ops_route_access.py tests/test_artist_context_service.py => 129 passed / 4 warnings,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,이번 릴리스 후보의 기준 자동 검증 묶음
REL-002,Release / Environment / Recovery,QA > 자동 검증,공통,local,Pre-release,main@5409b8c,P0,Blocker,Auto,핵심 shell/ui bootstrap 회귀 테스트 묶음 실행,작업 트리 최신 상태 / Python 환경 준비,"공통 shell, admin shell, ops UI bootstrap 테스트가 통과한다",pytest:tests/test_ops_shell_bootstrap.py,pytest -q tests/test_ops_shell_bootstrap.py => 679 passed / 4 warnings,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,UI smoke와 회귀의 최소 자동 게이트
REL-003,Release / Environment / Recovery,QA 서비스,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Manual-only,QA 로컬/외부 health 확인,QA 앱 재기동 완료,로컬 및 외부 QA health가 200 ok를 반환한다,runbook:docs/macos_qa_prod_runbook.md#9-qa-검증-절차,curl http://127.0.0.1:8100/health => ok / curl https://qa-library.muzlife.com/health => ok,Verified,Pass,2026-04-18T13:00:03+09:00,Codex,,qa-library.muzlife.com 과 127.0.0.1:8100 둘 다 확인
REL-004,Release / Environment / Recovery,릴리스 후보,관리자,qa,Pre-release,main@5409b8c,P0,Blocker,Manual-only,배포 대상 commit과 rollback backup 경로를 기록,배포 대상 후보 확정,release_ref와 rollback 대상이 명확히 기록된다,checklist:docs/go_live_checklist.md,doc:docs/go_live_checklist.md 2026-04-18 / release metadata recorded | runner:/Users/__DEV_USER__/actions-runner/_diag/Worker_20260418-024243-utc.log | ssh:__PROD_USER__@__PROD_HOST__.local | deploy:./deploy/scripts/deploy_to_prod.sh,Verified,Pass,2026-04-18T16:33:41+09:00,Codex,__DEV_USER__,배포 대상 SHA 5409b8c 확인 | target=__PROD_USER__@__PROD_HOST__.local:/Users/__PROD_USER__/apps/hahahoho-prod | rollback code target=c671ff4 | rollback DB=/Users/__PROD_USER__/apps/hahahoho-prod/runtime/backups/daily-db/hahahoho-library-daily-db-20260418-063130.db
REL-005,Release / Environment / Recovery,운영 서비스,관리자,prod,Post-release,main@5409b8c,P0,Release,Manual-only,운영 local/external health 확인,운영 배포 완료,운영 local/external health가 200 ok를 반환한다,checklist:docs/go_live_checklist.md | runbook:docs/macos_qa_prod_runbook.md,ssh:__PROD_USER__@__PROD_HOST__.local curl http://127.0.0.1:8000/health => ok | curl:https://library.muzlife.com/health => 200,Verified,Pass,2026-04-18T16:33:41+09:00,Codex,__DEV_USER__,Post-release smoke | local/external health ok
REL-006,Release / Environment / Recovery,운영 서비스,관리자,prod,Post-release,,P0,Release,Manual-only,운영 로그인 페이지와 핵심 동선 smoke 확인,운영 배포 완료 / 관리자 계정 사용 가능,"로그인, 대표 검색, 대시보드 또는 운영 홈 핵심 동선이 열린다",checklist:docs/go_live_checklist.md#5-운영-스모크-체크,,Ready,Not Run,,,,Post-release smoke
SYS-001,Release / Environment / Recovery,운영 서비스 > 외부 헬스체크,관리자,prod,Post-release,main@7450460,P0,Release,Manual-only,외부 health 확인,외부 접속 가능 / steps=1) https://library.muzlife.com/health 접속,200 응답과 status ok가 반환된다,runbook:docs/macos_qa_prod_runbook.md | checklist:docs/go_live_checklist.md,curl:https://library.muzlife.com/health => 200 | {""status"":""ok""},Verified,Pass,2026-04-18T16:41:34+09:00,Codex,__DEV_USER__,"외부 health 정상 | status=200 | {""status"": ""ok""}"
